Time[s], Data[Decimal]
0.4008897917,0
0.400890625,1
0.4008910417,0
0.400891875,1
0.4008922917,0
0.400893125,1
0.4008935417,0
0.400894375,1
0.4008947917,0
0.400895625,1
0.4008960417,0
0.400896875,1
0.4008972917,0
0.400898125,1
0.4008985417,0
0.400899375,1
0.4008997917,0
0.400900625,1
0.4009010417,0
0.400901875,1
0.4009022917,0
0.400903125,1
0.4009035417,0
0.400904375,1
0.4009047917,0
0.400905625,1
0.4009060417,0
0.400906875,1
0.4009072917,0
0.400908125,1
0.4009085417,0
0.400909375,1
0.4009097917,0
0.400910625,1
0.4009110417,0
0.400911875,1
0.4009122917,0
0.400913125,1
0.4009135417,0
0.400914375,1
0.4009147917,0
0.400915625,1
0.4009160417,0
0.400916875,1
0.4009172917,0
0.400918125,1
0.4009185417,0
0.400919375,1
0.4009197917,0
0.400920625,1
0.4009210417,0
0.400921875,1
0.4009222917,0
0.400923125,1
0.4009235417,0
0.400924375,1
0.4009247917,0
0.400925625,1
0.4009260417,0
0.400926875,1
0.4009272917,0
0.400928125,1
0.4009285417,0
0.400929375,1
0.4009297917,0
0.400930625,1
0.4009310417,0
0.400931875,1
0.4009322917,0
0.400933125,1
0.4009335417,0
0.400934375,1
0.4009347917,0
0.400935625,1
0.4009360417,0
0.400936875,1
0.4009372917,0
0.400938125,1
0.4009385417,0
0.400939375,1
0.4009397917,0
0.400940625,1
0.4009410417,0
0.400941875,1
0.4009422917,0
0.400943125,1
0.4009435417,0
0.400944375,1
0.4009447917,0
0.400945625,1
0.4009460417,0
0.400946875,1
0.4009472917,0
0.400948125,1
0.4009485417,0
0.400949375,1
0.4009497917,0
0.400950625,1
0.4009510417,0
0.400951875,1
0.4009522917,0
0.400953125,1
0.4009535417,0
0.400954375,1
0.4009547917,0
0.400955625,1
0.4009560417,0
0.400956875,1
0.4009572917,0
0.400958125,1
0.4009585417,0
0.400959375,1
0.4009597917,0
0.400960625,1
0.4009610417,0
0.400961875,1
0.4009622917,0
0.400963125,1
0.4009635417,0
0.400964375,1
0.4009647917,0
0.400965625,1
0.4009660417,0
0.400966875,1
0.4009672917,0
0.400968125,1
0.4009685417,0
0.400969375,1
0.4009697917,0
0.400970625,1
0.4009710417,0
0.400971875,1
0.4009722917,0
0.400973125,1
0.4009735417,0
0.400974375,1
0.4009747917,0
0.400975625,1
0.4009760417,0
0.400976875,1
0.4009772917,0
0.400978125,1
0.4009785417,0
0.400979375,1
0.4009797917,0
0.400980625,1
0.4009810417,0
0.400981875,1
0.4009822917,0
0.400983125,1
0.4009835417,0
0.400984375,1
0.4009847917,0
0.400985625,1
0.4009860417,0
0.400986875,1
0.4009872917,0
0.400988125,1
0.4009885417,0
0.400989375,1
0.4009897917,0
0.400990625,1
0.4009910417,0
0.400991875,1
0.4009922917,0
0.400993125,1
0.4009935417,0
0.400994375,1
0.4009947917,0
0.400995625,1
0.4009960417,0
0.400996875,1
0.4009972917,0
0.400998125,1
0.4009985417,0
0.400999375,1
0.4009997917,0
0.401000625,1
0.4010010417,0
0.401001875,1
0.4010022917,0
0.401003125,1
0.4010035417,0
0.401004375,1
0.4010047917,0
0.401005625,1
0.4010060417,0
0.401006875,1
0.4010072917,0
0.401008125,1
0.4010085417,0
0.401009375,1
0.4010097917,0
0.401010625,1
0.4010110417,0
0.401011875,1
0.4010122917,0
0.401013125,1
0.4010135417,0
0.401014375,1
0.4010147917,0
0.401015625,1
0.4010160417,0
0.401016875,1
0.4010172917,0
0.401018125,1
0.4010185417,0
0.401019375,1
0.4010197917,0
0.401020625,1
0.4010210417,0
0.401021875,1
0.4010222917,0
0.401023125,1
0.4010235417,0
0.401024375,1
0.4010247917,0
0.401025625,1
0.4010260417,0
0.401026875,1
0.4010272917,0
0.401028125,1
0.4010285417,0
0.401029375,1
0.4010297917,0
0.401030625,1
0.4010310417,0
0.401031875,1
0.4010322917,0
0.401033125,1
0.4010335417,0
0.401034375,1
0.4010347917,0
0.401035625,1
0.4010360417,0
0.401036875,1
0.4010372917,0
0.401038125,1
0.4010385417,0
0.401039375,1
0.4010397917,0
0.401040625,1
0.4010410417,0
0.401041875,1
0.4010422917,0
0.401043125,1
0.4010435417,0
0.401044375,1
0.4010447917,0
0.401045625,1
0.4010460417,0
0.401046875,1
0.4010472917,0
0.401048125,1
0.4010485417,0
0.401049375,1
0.4010497917,0
0.401050625,1
0.4010510417,0
0.401051875,1
0.4010522917,0
0.401053125,1
0.4010535417,0
0.401054375,1
0.4010547917,0
0.401055625,1
0.4010560417,0
0.401056875,1
0.4010572917,0
0.401058125,1
0.4010585417,0
0.401059375,1
0.4010597917,0
0.401060625,1
0.4010610417,0
0.401061875,1
0.4010622917,0
0.401063125,1
0.4010635417,0
0.401064375,1
0.4010647917,0
0.401065625,1
0.4010660417,0
0.401066875,1
0.4010672917,0
0.401068125,1
0.4010689583,0
0.401069375,1
0.4010702083,0
0.401070625,1
0.4010714583,0
0.401071875,1
0.4010727083,0
0.401073125,1
0.4010739583,0
0.401074375,1
0.4010752083,0
0.401075625,1
0.4010764583,0
0.401076875,1
0.4010777083,0
0.401078125,1
0.4010785417,0
0.401079375,1
0.4010797917,0
0.401080625,1
0.4010810417,0
0.401081875,1
0.4010822917,0
0.401083125,1
0.4010835417,0
0.401084375,1
0.4010847917,0
0.401085625,1
0.4010860417,0
0.401086875,1
0.4010872917,0
0.401088125,1
0.4010885417,0
0.401089375,1
0.4010897917,0
0.401090625,1
0.4010910417,0
0.401091875,1
0.4010922917,0
0.401093125,1
0.4010935417,0
0.401094375,1
0.4010947917,0
0.401095625,1
0.4010960417,0
0.401096875,1
0.4010972917,0
0.401098125,1
0.4010989583,0
0.401099375,1
0.4011002083,0
0.401100625,1
0.4011014583,0
0.401101875,1
0.4011027083,0
0.401103125,1
0.4011039583,0
0.401104375,1
0.4011052083,0
0.401105625,1
0.4011064583,0
0.401106875,1
0.4011077083,0
0.401108125,1
0.4011085417,0
0.401109375,1
0.4011097917,0
0.401110625,1
0.4011110417,0
0.401111875,1
0.4011122917,0
0.401113125,1
0.4011135417,0
0.401114375,1
0.4011147917,0
0.401115625,1
0.4011160417,0
0.401116875,1
0.4011172917,0
0.401118125,1
0.4011185417,0
0.401119375,1
0.4011197917,0
0.401120625,1
0.4011210417,0
0.401121875,1
0.4011222917,0
0.401123125,1
0.4011235417,0
0.401124375,1
0.4011247917,0
0.401125625,1
0.4011260417,0
0.401126875,1
0.4011272917,0
0.401128125,1
0.4011289583,0
0.401129375,1
0.4011302083,0
0.401130625,1
0.4011314583,0
0.401131875,1
0.4011327083,0
0.401133125,1
0.4011339583,0
0.401134375,1
0.4011352083,0
0.401135625,1
0.4011364583,0
0.401136875,1
0.4011377083,0
0.401138125,1
0.4011385417,0
0.401139375,1
0.4011397917,0
0.401140625,1
0.4011410417,0
0.401141875,1
0.4011422917,0
0.401143125,1
0.4011435417,0
0.401144375,1
0.4011447917,0
0.401145625,1
0.4011460417,0
0.401146875,1
0.4011472917,0
0.401148125,1
0.4011485417,0
0.401149375,1
0.4011497917,0
0.401150625,1
0.4011510417,0
0.401151875,1
0.4011522917,0
0.401153125,1
0.4011535417,0
0.401154375,1
0.4011547917,0
0.401155625,1
0.4011560417,0
0.401156875,1
0.4011572917,0
0.401158125,1
0.4011589583,0
0.401159375,1
0.4011602083,0
0.401160625,1
0.4011614583,0
0.401161875,1
0.4011627083,0
0.401163125,1
0.4011639583,0
0.401164375,1
0.4011652083,0
0.401165625,1
0.4011664583,0
0.401166875,1
0.4011677083,0
0.401168125,1
0.4011689583,0
0.401169375,1
0.4011702083,0
0.401170625,1
0.4011714583,0
0.401171875,1
0.4011727083,0
0.401173125,1
0.4011739583,0
0.401174375,1
0.4011752083,0
0.401175625,1
0.4011764583,0
0.401176875,1
0.4011777083,0
0.401178125,1
0.4011789583,0
0.401179375,1
0.4011802083,0
0.401180625,1
0.4011814583,0
0.401181875,1
0.4011827083,0
0.401183125,1
0.4011839583,0
0.401184375,1
0.4011852083,0
0.401185625,1
0.4011864583,0
0.401186875,1
0.4011877083,0
0.401188125,1
0.4011889583,0
0.401189375,1
0.4011902083,0
0.401190625,1
0.4011914583,0
0.401191875,1
0.4011927083,0
0.401193125,1
0.4011939583,0
0.401194375,1
0.4011952083,0
0.401195625,1
0.4011964583,0
0.401196875,1
0.4011977083,0
0.401198125,1
0.4011989583,0
0.401199375,1
0.4012002083,0
0.401200625,1
0.4012014583,0
0.401201875,1
0.4012027083,0
0.401203125,1
0.4012039583,0
0.401204375,1
0.4012052083,0
0.401205625,1
0.4012064583,0
0.401206875,1
0.4012077083,0
0.401208125,1
0.4012089583,0
0.401209375,1
0.4012102083,0
0.401210625,1
0.4012114583,0
0.401211875,1
0.4012127083,0
0.401213125,1
0.4012139583,0
0.401214375,1
0.4012152083,0
0.401215625,1
0.4012164583,0
0.401216875,1
0.4012177083,0
0.401218125,1
0.4012189583,0
0.401219375,1
0.4012202083,0
0.401220625,1
0.4012214583,0
0.401221875,1
0.4012227083,0
0.401223125,1
0.4012239583,0
0.401224375,1
0.4012252083,0
0.401225625,1
0.4012264583,0
0.401226875,1
0.4012277083,0
0.401228125,1
0.4012289583,0
0.401229375,1
0.4012302083,0
0.401230625,1
0.4012314583,0
0.401231875,1
0.4012327083,0
0.401233125,1
0.4012339583,0
0.401234375,1
0.4012352083,0
0.401235625,1
0.4012364583,0
0.401236875,1
0.4012377083,0
0.401238125,1
0.4012389583,0
0.401239375,1
0.4012402083,0
0.401240625,1
0.4012414583,0
0.401241875,1
0.4012427083,0
0.401243125,1
0.4012439583,0
0.401244375,1
0.4012452083,0
0.401245625,1
0.4012464583,0
0.401246875,1
0.4012477083,0
0.401248125,1
0.4012489583,0
0.401249375,1
0.4012502083,0
0.401250625,1
0.4012514583,0
0.401251875,1
0.4012527083,0
0.401253125,1
0.4012539583,0
0.401254375,1
0.4012552083,0
0.401255625,1
0.4012564583,0
0.401256875,1
